adj_stimulus,frame_start,psth_bars,spike_count,stimulus,train_frames,rate
1.0,0.0,0.8333333333333334,1.0,255.0,0.0,7.010972027784297
1.0,280.82,63.333333333333336,76.0,255.0,280.82,25.891558941583007
1.0,561.64,40.0,48.0,255.0,561.64,45.03669434997581
1.0,842.46,49.16666666666667,59.0,255.0,842.46,46.73497251413788
1.0,1123.28,27.5,33.0,255.0,1123.28,41.136042713109845
1.0,1404.1,40.0,48.0,255.0,1404.1,36.450647028506374
1.0,1684.92,39.16666666666667,47.0,255.0,1684.92,33.01487166987299
1.0,1965.74,27.5,33.0,255.0,1965.74,31.891508898087068
1.0,2246.56,34.16666666666667,41.0,255.0,2246.56,32.70133800796346
1.0,2527.38,33.333333333333336,40.0,255.0,2527.38,33.97271841202821
1.0,2808.2,29.166666666666668,35.0,255.0,2808.2,33.18714644038555
1.0,3089.02,31.666666666666668,38.0,255.0,3089.02,31.519281566234557
1.0,3369.84,32.5,39.0,255.0,3369.84,31.27733898098997
1.0,3650.66,27.5,33.0,255.0,3650.66,30.468368218954325
1.0,3931.48,29.166666666666668,35.0,255.0,3931.48,28.772796606027235
1.0,4212.3,29.166666666666668,35.0,255.0,4212.3,28.327916849377985
1.0,4493.12,30.0,36.0,255.0,4493.12,28.45318406671004
1.0,4773.94,19.166666666666668,23.0,255.0,4773.94,26.851599781368268
1.0,5054.76,32.5,39.0,255.0,5054.76,26.047563683690676
1.0,5335.58,20.833333333333336,25.0,255.0,5335.58,25.910378953077164
1.0,5616.4,25.0,30.0,255.0,5616.4,24.558078489250523
1.0,5897.22,21.666666666666668,26.0,255.0,5897.22,23.476912429733876
1.0,6178.04,26.666666666666668,32.0,255.0,6178.04,22.872679266759683
1.0,6458.86,19.166666666666668,23.0,255.0,6458.86,22.35498994948291
1.0,6739.68,21.666666666666668,26.0,255.0,6739.68,22.362100186424573
1.0,7020.5,25.833333333333336,31.0,255.0,7020.5,22.996688464732415
1.0,7301.32,20.0,24.0,255.0,7301.32,22.19802447284006
1.0,7582.139999999999,24.166666666666668,29.0,255.0,7582.139999999999,21.590545383104097
1.0,7862.96,20.833333333333336,25.0,255.0,7862.96,21.610442821885773
1.0,8143.78,17.5,21.0,255.0,8143.78,20.748455850712208
1.0,8424.6,21.666666666666668,26.0,255.0,8424.6,21.176243558058427
1.0,8705.42,25.833333333333336,31.0,255.0,8705.42,22.224171318215905
1.0,8986.24,19.166666666666668,23.0,255.0,8986.24,21.38213066948963
1.0,9267.06,15.833333333333334,19.0,255.0,9267.06,19.972764795051393
1.0,9547.88,26.666666666666668,32.0,255.0,9547.88,20.507131886253944
1.0,9828.699999999999,18.333333333333336,22.0,255.0,9828.699999999999,21.236327772798877
1.0,10109.52,20.833333333333336,25.0,255.0,10109.52,21.094478984621407
1.0,10390.34,24.166666666666668,29.0,255.0,10390.34,22.26354223877414
1.0,10671.16,25.0,30.0,255.0,10671.16,23.447483552260945
1.0,10951.98,21.666666666666668,26.0,255.0,10951.98,23.570858855724946
1.0,11232.8,24.166666666666668,29.0,255.0,11232.8,23.242894692740684
1.0,11513.619999999999,21.666666666666668,26.0,255.0,11513.619999999999,22.82632810167405
1.0,11794.44,22.5,27.0,255.0,11794.44,22.873619657570337
1.0,12075.26,24.166666666666668,29.0,255.0,12075.26,23.183910311705837
1.0,12356.08,21.666666666666668,26.0,255.0,12356.08,22.94162833133852
1.0,12636.9,21.666666666666668,26.0,255.0,12636.9,22.36345234127451
1.0,12917.72,22.5,27.0,255.0,12917.72,22.526849300008404
1.0,13198.539999999999,23.333333333333336,28.0,255.0,13198.539999999999,22.33054356599331
1.0,13479.36,18.333333333333336,22.0,255.0,13479.36,20.898786215321795
1.0,13760.18,20.833333333333336,25.0,255.0,13760.18,19.836485708237536
0.0,0.0,21.666666666666668,26.0,0.0,14041.0,18.812464961694936
0.0,280.82,9.166666666666668,11.0,0.0,14321.82,13.99321288485903
0.0,561.64,2.5,3.0,0.0,14602.64,6.737193257974154
0.0,842.46,0.0,0.0,0.0,14883.46,2.422478461651096
0.0,1123.28,0.8333333333333334,1.0,0.0,15164.28,0.9422573191993764
0.0,1404.1,0.0,0.0,0.0,15445.1,0.36921699982081024
0.0,1684.92,0.0,0.0,0.0,15725.92,0.09213102308087864
0.0,1965.74,0.0,0.0,0.0,16006.74,0.010150460529232417
0.0,2246.56,0.0,0.0,0.0,16287.56,0.00043058170095452487
0.0,2527.38,0.0,0.0,0.0,16568.38,6.790928739529233e-06
0.0,2808.2,0.0,0.0,0.0,16849.2,3.9506173253005534e-08
0.0,3089.02,0.0,0.0,0.0,17130.02,8.483797037097035e-11
0.0,3369.84,0.0,0.0,0.0,17410.84,2.3070443185155622e-10
0.0,3650.66,0.0,0.0,0.0,17691.66,9.24227943007179e-08
0.0,3931.48,0.0,0.0,0.0,17972.48,1.363130655839296e-05
0.0,4212.3,0.0,0.0,0.0,18253.3,0.0007401145516110131
0.0,4493.12,0.0,0.0,0.0,18534.12,0.014812441264686225
0.0,4773.94,0.0,0.0,0.0,18814.94,0.11012582035008087
0.0,5054.76,0.8333333333333334,1.0,0.0,19095.760000000002,0.3179652333664614
0.0,5335.58,0.0,0.0,0.0,19376.58,0.4367390767760557
0.0,5616.4,0.8333333333333334,1.0,0.0,19657.4,0.42569277751760776
0.0,5897.22,0.0,0.0,0.0,19938.22,0.27364409329619493
0.0,6178.04,0.0,0.0,0.0,20219.04,0.07836265264287313
0.0,6458.86,0.0,0.0,0.0,20499.86,0.008574120985457132
0.0,6739.68,0.0,0.0,0.0,20780.68,0.0003474891841460741
0.0,7020.5,0.0,0.0,0.0,21061.5,5.192901266078755e-06
0.0,7301.32,0.0,0.0,0.0,21342.32,1.1164971805518106e-06
0.0,7582.139999999999,0.0,0.0,0.0,21623.14,0.0001004220193179235
0.0,7862.96,0.0,0.0,0.0,21903.96,0.003411385749059301
0.0,8143.78,0.0,0.0,0.0,22184.78,0.042654738319427454
0.0,8424.6,0.0,0.0,0.0,22465.6,0.19657884602818687
0.0,8705.42,0.8333333333333334,1.0,0.0,22746.42,0.34082268228204116
0.0,8986.24,0.0,0.0,0.0,23027.239999999998,0.2894116542774807
0.0,9267.06,0.8333333333333334,1.0,0.0,23308.059999999998,0.3686592295614856
0.0,9547.88,0.8333333333333334,1.0,0.0,23588.879999999997,0.5638777021829025
0.0,9828.699999999999,0.0,0.0,0.0,23869.699999999997,0.49432668715933764
0.0,10109.52,0.0,0.0,0.0,24150.52,0.3270978518433359
0.0,10390.34,0.8333333333333334,1.0,0.0,24431.34,0.39733656614704504
0.0,10671.16,0.8333333333333334,1.0,0.0,24712.16,0.4974721460605139
0.0,10951.98,0.0,0.0,0.0,24992.98,0.49792620542808463
0.0,11232.8,0.8333333333333334,1.0,0.0,25273.8,0.5033434018984735
0.0,11513.619999999999,0.8333333333333334,1.0,0.0,25554.62,0.5720045441303079
0.0,11794.44,0.0,0.0,0.0,25835.440000000002,0.5325053144400365
0.0,12075.26,0.0,0.0,0.0,26116.260000000002,0.5741577434770421
0.0,12356.08,2.5,3.0,0.0,26397.08,0.9482536286656986
0.0,12636.9,0.0,0.0,0.0,26677.9,0.8527742314242455
0.0,12917.72,0.0,0.0,0.0,26958.72,0.320665872364792
0.0,13198.539999999999,0.0,0.0,0.0,27239.54,0.29500535399809774
0.0,13479.36,2.5,3.0,0.0,27520.36,0.9362222642779695
0.0,13760.18,0.8333333333333334,1.0,0.0,27801.18,1.2870661327532789
